id,subject,book_id
25194,Boxcar children (Fictitious characters) -- Juvenile fiction,42796
36,Science fiction,1268
2849,Adventure stories,1268
5831,Castaways -- Fiction,1268
11837,Islands of the Pacific -- Fiction,1268
60,Historical fiction,2275
2849,Adventure stories,2275
5053,"Bumppo, Natty (Fictitious character) -- Fiction",2275
5054,Frontier and pioneer life -- New York (State) -- Fiction,2275
5055,New York (State) -- History -- 1775-1865 -- Fiction,2275
14348,American fiction,2275
27331,United States -- History -- 1783-1815 -- Fiction,2275
94,Short stories,6133
3546,Burglars -- Fiction,6133
3547,"Lupin, Arsène (Fictitious character) -- Fiction",6133
3548,"Adventure stories, French -- Translations into English",6133
4709,Mystery and detective stories,6133
3568,Fathers and sons -- Juvenile fiction,25429
3960,Adventure and adventurers -- Juvenile fiction,25429
11961,Frontier and pioneer life -- West (U.S.) -- Juvenile fiction,25429
1282,London (England) -- Fiction,370
2543,Picaresque literature,370
2849,Adventure stories,370
3333,Criminals -- Fiction,370
3534,Prostitutes -- Fiction,370
4791,Children of prisoners -- Fiction,370
4792,British -- Virginia -- Fiction,370
4793,Women -- England -- Fiction,370
4794,Repentance -- Fiction,370
4795,Virginia -- Fiction,370
60,Historical fiction,17989
1703,Revenge -- Fiction,17989
2849,Adventure stories,17989
3156,Prisoners -- Fiction,17989
3242,France -- History -- 19th century -- Fiction,17989
3243,Pirates -- Fiction,17989
3263,"Dantès, Edmond (Fictitious character) -- Fiction",17989
1739,Australia -- Juvenile fiction,60444
5177,"World War, 1914-1918 -- Juvenile fiction",60444
5439,"Adventure stories, Australian",60444
9821,Country life -- Australia -- Juvenile fiction,60444
11057,Families -- Juvenile fiction,60444
11279,Ocean travel -- Juvenile fiction,60444
11,Whaling -- Fiction,2489
115,Sea stories,2489
2430,Psychological fiction,2489
2486,Ship captains -- Fiction,2489
2849,Adventure stories,2489
3315,Mentally ill -- Fiction,2489
8143,"Ahab, Captain (Fictitious character) -- Fiction",2489
8144,Whales -- Fiction,2489
18044,Whaling ships -- Fiction,2489
25,Fiction,525
115,Sea stories,525
2849,Adventure stories,525
2849,Adventure stories,1900
4275,Indigenous peoples -- Fiction,1900
4276,Sailors -- Fiction,1900
4277,Marquesas Islands (French Polynesia) -- Fiction,1900
2849,Adventure stories,1376
3235,Peter Pan (Fictitious character) -- Fiction,1376
7393,"Kensington Gardens (London, England) -- Fiction",1376
7394,"Kensington (London, England) -- Fiction",1376
9210,Fairies -- Fiction,1376
25,Fiction,710
94,Short stories,710
293,Western stories,710
11618,"Adventure stories, American",710
60,Historical fiction,30344
2543,Picaresque literature,30344
2685,Mistresses -- Fiction,30344
2849,Adventure stories,30344
9047,"Great Britain -- History -- Charles II, 1660-1685 -- Fiction",30344
10395,Women -- Great Britain -- Fiction,30344
10396,Women -- Europe -- Fiction,30344
10397,Europe -- History -- 17th century -- Fiction,30344
60,Historical fiction,13951
725,"France -- History -- Louis XIII, 1610-1643 -- Fiction",13951
2822,Adventure and adventurers -- Fiction,13951
3246,Swordsmen -- Fiction,13951
511,Humorous stories,9611
1702,England -- Fiction,9611
2536,Bildungsromans,9611
2540,Young men -- Fiction,9611
2560,Clergy -- Fiction,9611
2614,Male friendship -- Fiction,9611
2849,Adventure stories,9611
2906,Social classes -- Fiction,9611
13696,Household employees -- Fiction,9611
511,Humorous stories,9611
1702,England -- Fiction,9611
2536,Bildungsromans,9611
2540,Young men -- Fiction,9611
2560,Clergy -- Fiction,9611
2614,Male friendship -- Fiction,9611
2849,Adventure stories,9611
2906,Social classes -- Fiction,9611
13696,Household employees -- Fiction,9611
61,Tarzan (Fictitious character) -- Fiction,81
138,Fantasy fiction,81
2849,Adventure stories,81
335,Satire,968
1702,England -- Fiction,968
2536,Bildungsromans,968
2540,Young men -- Fiction,968
2609,Grandfathers -- Fiction,968
2849,Adventure stories,968
4120,British -- United States -- Fiction,968
6804,Black humor,968
12980,Avarice -- Fiction,968
16636,United States -- Description and travel -- Fiction,968
94,Short stories,2429
293,Western stories,2429
5104,American fiction -- 20th century,2429
11618,"Adventure stories, American",2429
2849,Adventure stories,468
3173,Man-woman relationships -- Fiction,468
7357,"Lescaut, Manon, 1689-1721 -- Fiction",468
36,Science fiction,60450
115,Sea stories,60450
2849,Adventure stories,60450
4845,Shipwrecks -- Fiction,60450
2418,Egypt -- History -- To 332 B.C. -- Fiction,29756
2822,Adventure and adventurers -- Fiction,29756
511,Humorous stories,7100
2536,Bildungsromans,7100
2604,Boys -- Fiction,7100
2614,Male friendship -- Fiction,7100
2849,Adventure stories,7100
3470,Missouri -- Fiction,7100
5311,Race relations -- Fiction,7100
7019,Runaway children -- Fiction,7100
7021,"Finn, Huckleberry (Fictitious character) -- Fiction",7100
7022,Fugitive slaves -- Fiction,7100
7023,Mississippi River -- Fiction,7100
99,Orphans -- Fiction,25102
2822,Adventure and adventurers -- Fiction,25102
3242,France -- History -- 19th century -- Fiction,25102
6025,Street entertainers -- Fiction,25102
106,Shipwreck survival -- Fiction,12623
108,Islands -- Fiction,12623
2818,"Crusoe, Robinson (Fictitious character) -- Fiction",12623
2821,Atlantic Ocean -- Fiction,12623
2849,Adventure stories,12623
5831,Castaways -- Fiction,12623
115,Sea stories,1142
2486,Ship captains -- Fiction,1142
2849,Adventure stories,1142
18318,Typhoons -- Fiction,1142
115,Sea stories,2360
775,Great Britain -- History -- Invasions -- Fiction,2360
2849,Adventure stories,2360
3239,Spy stories,2360
4943,Sailing -- Fiction,2360
5106,Frisian Islands -- Fiction,2360
10284,Secret service -- Fiction,2360
10285,Alternative histories (Fiction),2360
94,Short stories,1202
6944,"Adventure stories, English",1202
60,Historical fiction,27681
808,War stories,27681
1291,"United States -- History -- French and Indian War, 1754-1763 -- Fiction",27681
2849,Adventure stories,27681
3176,Frontier and pioneer life -- Fiction,27681
5053,"Bumppo, Natty (Fictitious character) -- Fiction",27681
5056,Mohegan Indians -- Fiction,27681
15941,"Adventure stories, French",11589
15942,Ballooning -- Fiction,11589
15943,Mountaineering,11589
15944,"Blanc, Mont (France and Italy)",11589
99,Orphans -- Fiction,35555
143,India -- Fiction,35555
2604,Boys -- Fiction,35555
2849,Adventure stories,35555
3239,Spy stories,35555
3270,Lamas -- Fiction,35555
3271,Irish -- India -- Fiction,35555
2849,Adventure stories,800
3303,Voyages around the world -- Fiction,800
94,Short stories,1029
2822,Adventure and adventurers -- Fiction,1029
36,Science fiction,3748
2849,Adventure stories,3748
6593,Earth (Planet) -- Core -- Fiction,3748
12294,"Voyages, Imaginary -- Fiction",3748
45,Oz (Imaginary place) -- Juvenile fiction,32094
46,Fantasy literature,32094
3960,Adventure and adventurers -- Juvenile fiction,32094
5581,Magic -- Juvenile fiction,32094
5839,Cats -- Juvenile fiction,32094
6254,Dolls -- Juvenile fiction,32094
16540,Fortune -- Juvenile fiction,32094
25095,Magicians -- Juvenile fiction,32094
106,Shipwreck survival -- Fiction,11866
108,Islands -- Fiction,11866
2818,"Crusoe, Robinson (Fictitious character) -- Fiction",11866
2821,Atlantic Ocean -- Fiction,11866
2849,Adventure stories,11866
5831,Castaways -- Fiction,11866
2822,Adventure and adventurers -- Fiction,1555
5365,Deserts -- Fiction,1555
25,Fiction,839
94,Short stories,839
6944,"Adventure stories, English",839
45,Oz (Imaginary place) -- Juvenile fiction,39868
46,Fantasy literature,39868
808,War stories,39868
3960,Adventure and adventurers -- Juvenile fiction,39868
3961,Voyages and travels -- Juvenile fiction,39868
5581,Magic -- Juvenile fiction,39868
11064,Courage -- Juvenile fiction,39868
19597,Good and evil -- Juvenile fiction,39868
25080,"Animals, Mythical -- Juvenile fiction",39868
25081,"Gale, Dorothy (Fictitious character) -- Juvenile fiction",39868
25088,Witches -- Juvenile fiction,39868
25101,Tribes -- Juvenile fiction,39868
106,Shipwreck survival -- Fiction,60344
108,Islands -- Fiction,60344
2818,"Crusoe, Robinson (Fictitious character) -- Fiction",60344
2821,Atlantic Ocean -- Fiction,60344
2849,Adventure stories,60344
5831,Castaways -- Fiction,60344
807,Biographical fiction,60328
1008,Animals -- Juvenile fiction,60328
1414,Conduct of life -- Juvenile fiction,60328
2496,Children -- Conduct of life -- Juvenile fiction,60328
2849,Adventure stories,60328
3388,Sailing -- Juvenile fiction,60328
3961,Voyages and travels -- Juvenile fiction,60328
4254,Natural history -- Juvenile fiction,60328
10472,Hunting -- Juvenile fiction,60328
33982,"Africa, Central -- Description and travel -- Juvenile fiction",60328
33983,Congo River -- Juvenile fiction,60328
33984,"Stanley, Henry M. (Henry Morton), 1841-1904 -- Juvenile fiction",60328
511,Humorous stories,32325
2536,Bildungsromans,32325
2604,Boys -- Fiction,32325
2614,Male friendship -- Fiction,32325
2849,Adventure stories,32325
3470,Missouri -- Fiction,32325
5311,Race relations -- Fiction,32325
7019,Runaway children -- Fiction,32325
7021,"Finn, Huckleberry (Fictitious character) -- Fiction",32325
7022,Fugitive slaves -- Fiction,32325
7023,Mississippi River -- Fiction,32325
36,Science fiction,123
138,Fantasy fiction,123
2849,Adventure stories,123
6593,Earth (Planet) -- Core -- Fiction,123
36,Science fiction,605
2849,Adventure stories,605
6593,Earth (Planet) -- Core -- Fiction,605
2489,Sisters -- Fiction,904
2525,Friendship -- Fiction,904
2822,Adventure and adventurers -- Fiction,904
4777,California -- Fiction,904
6968,Racism -- Fiction,904
7358,Interpersonal relations -- Fiction,904
108,Islands -- Fiction,393
2487,Love stories,393
2536,Bildungsromans,393
2584,Cousins -- Fiction,393
2849,Adventure stories,393
4845,Shipwrecks -- Fiction,393
5831,Castaways -- Fiction,393
94,Short stories,2305
2822,Adventure and adventurers -- Fiction,2305
2849,Adventure stories,24091
476,Voyages around the world,45033
1438,Arctic regions,45033
4252,Adventure and adventurers,45033
7082,Ocean,45033
25,Fiction,4084
2543,Picaresque literature,4084
2849,Adventure stories,4084
46,Fantasy literature,436
1414,Conduct of life -- Juvenile fiction,436
2849,Adventure stories,436
3245,Pirates -- Juvenile fiction,436
3961,Voyages and travels -- Juvenile fiction,436
7834,Youth -- Conduct of life -- Juvenile fiction,436
11131,Thieves -- Juvenile fiction,436
11508,Parent and child -- Juvenile fiction,436
11756,Electricity -- Juvenile fiction,436
12638,War -- Juvenile fiction,436
21454,Physical sciences -- Juvenile fiction,436
2849,Adventure stories,28656
4275,Indigenous peoples -- Fiction,28656
4276,Sailors -- Fiction,28656
4277,Marquesas Islands (French Polynesia) -- Fiction,28656
511,Humorous stories,30165
2536,Bildungsromans,30165
2604,Boys -- Fiction,30165
2614,Male friendship -- Fiction,30165
2849,Adventure stories,30165
3470,Missouri -- Fiction,30165
3967,"Sawyer, Tom (Fictitious character) -- Fiction",30165
5111,Child witnesses -- Fiction,30165
7019,Runaway children -- Fiction,30165
7020,Mississippi River Valley -- Fiction,30165
36,Science fiction,20898
138,Fantasy fiction,20898
2849,Adventure stories,20898
5836,Interplanetary voyages -- Fiction,20898
6311,Space and time -- Fiction,20898
36,Science fiction,10349
2849,Adventure stories,10349
6593,Earth (Planet) -- Core -- Fiction,10349
12294,"Voyages, Imaginary -- Fiction",10349
2849,Adventure stories,21338
2870,Travelers -- Fiction,21338
60,Historical fiction,3294
115,Sea stories,3294
2849,Adventure stories,3294
3243,Pirates -- Fiction,3294
3290,Muslims -- Fiction,3294
3291,"British -- Africa, North -- Fiction",3294
3292,"Africa, North -- Fiction",3294
3293,Cornwall (England : County) -- Fiction,3294
60,Historical fiction,17992
1703,Revenge -- Fiction,17992
2849,Adventure stories,17992
3156,Prisoners -- Fiction,17992
3242,France -- History -- 19th century -- Fiction,17992
3243,Pirates -- Fiction,17992
3263,"Dantès, Edmond (Fictitious character) -- Fiction",17992
803,Voyages and travels,23998
4252,Adventure and adventurers,23998
2849,Adventure stories,91
3967,"Sawyer, Tom (Fictitious character) -- Fiction",91
3968,Balloon ascensions -- Fiction,91
3969,Americans -- Foreign countries -- Fiction,91
138,Fantasy fiction,364
2576,Impostors and imposture -- Fiction,364
2849,Adventure stories,364
4259,Kings and rulers -- Fiction,364
4286,Mistaken identity -- Fiction,364
3546,Burglars -- Fiction,40203
3547,"Lupin, Arsène (Fictitious character) -- Fiction",40203
3548,"Adventure stories, French -- Translations into English",40203
12154,"Doyle, Arthur Conan, 1859-1930 -- Parodies, imitations, etc.",40203
25,Fiction,331
2849,Adventure stories,331
1529,Polynesia -- Description and travel -- Fiction,4045
2849,Adventure stories,4045
36,Science fiction,4791
2849,Adventure stories,4791
6593,Earth (Planet) -- Core -- Fiction,4791
12294,"Voyages, Imaginary -- Fiction",4791
94,Short stories,32854
3546,Burglars -- Fiction,32854
3547,"Lupin, Arsène (Fictitious character) -- Fiction",32854
4709,Mystery and detective stories,32854
15941,"Adventure stories, French",32854
2696,Scotland -- Fiction,42455
2849,Adventure stories,42455
21171,Visions -- Fiction,42455
25001,Prophecies -- Fiction,42455
25002,Omens -- Fiction,42455
25003,Code and cipher stories,42455
60,Historical fiction,56054
725,"France -- History -- Louis XIII, 1610-1643 -- Fiction",56054
2822,Adventure and adventurers -- Fiction,56054
3246,Swordsmen -- Fiction,56054
1414,Conduct of life -- Juvenile fiction,60322
2849,Adventure stories,60322
2966,Friendship -- Juvenile fiction,60322
3958,Indians of North America -- Juvenile fiction,60322
3961,Voyages and travels -- Juvenile fiction,60322
5323,Farmers -- Juvenile fiction,60322
7834,Youth -- Conduct of life -- Juvenile fiction,60322
11738,Battles -- Juvenile fiction,60322
33981,Cattle breeders -- Juvenile fiction,60322
2849,Adventure stories,50054
2905,England -- Social life and customs -- 18th century -- Fiction,50054
23967,Young women -- England -- Fiction,50054
29020,Romances -- Appreciation -- Fiction,50054
29021,Fiction -- Appreciation -- Fiction,50054
184,Adoptees -- Juvenile fiction,296
185,Orphans -- Juvenile fiction,296
510,Didactic fiction,296
2505,Baseball -- Juvenile fiction,296
2849,Adventure stories,296
3004,Boys -- Juvenile fiction,296
2818,"Crusoe, Robinson (Fictitious character) -- Fiction",561
2822,Adventure and adventurers -- Fiction,561
60,Historical fiction,17991
1703,Revenge -- Fiction,17991
2849,Adventure stories,17991
3156,Prisoners -- Fiction,17991
3242,France -- History -- 19th century -- Fiction,17991
3243,Pirates -- Fiction,17991
3263,"Dantès, Edmond (Fictitious character) -- Fiction",17991
25,Fiction,788
94,Short stories,788
11618,"Adventure stories, American",788
60,Historical fiction,17990
1703,Revenge -- Fiction,17990
2849,Adventure stories,17990
3156,Prisoners -- Fiction,17990
3242,France -- History -- 19th century -- Fiction,17990
3243,Pirates -- Fiction,17990
3263,"Dantès, Edmond (Fictitious character) -- Fiction",17990
138,Fantasy fiction,783
2849,Adventure stories,783
4990,Uncles -- Juvenile fiction,783
16870,Nephews -- Juvenile fiction,783
61,Tarzan (Fictitious character) -- Fiction,58874
138,Fantasy fiction,58874
2849,Adventure stories,58874
767,"War stories, English",1644
5421,"Napoleonic Wars, 1800-1815 -- Fiction",1644
6944,"Adventure stories, English",1644
7447,"France -- History, Military -- 19th century -- Fiction",1644
36,Science fiction,50571
2849,Adventure stories,50571
1764,"Scotland -- History -- War of Independence, 1285-1371 -- Fiction",4792
2822,Adventure and adventurers -- Fiction,4792
10090,"Wallace, William, Sir, -1305 -- Fiction",4792
10091,"Robert I, King of Scots, 1274-1329 -- Fiction",4792
10092,"Scotland -- History -- Robert I, 1306-1329 -- Fiction",4792
115,Sea stories,6422
2543,Picaresque literature,6422
2849,Adventure stories,6422
3243,Pirates -- Fiction,6422
2849,Adventure stories,43293
3958,Indians of North America -- Juvenile fiction,43293
22456,"Superior, Lake -- Juvenile fiction",43293
2849,Adventure stories,45457
4709,Mystery and detective stories,45457
11168,Robinsonades,45457
15299,Young women -- Social life and customs -- Juvenile fiction,45457
16179,Women air pilots -- Juvenile fiction,45457
25273,Cuba -- Description and travel -- Juvenile fiction,45457
2576,Impostors and imposture -- Fiction,24801
2849,Adventure stories,24801
3267,British -- Foreign countries -- Fiction,24801
45,Oz (Imaginary place) -- Juvenile fiction,51263
46,Fantasy literature,51263
2820,Islands -- Juvenile fiction,51263
3960,Adventure and adventurers -- Juvenile fiction,51263
3961,Voyages and travels -- Juvenile fiction,51263
4077,Caves -- Juvenile fiction,51263
4134,Girls -- Juvenile fiction,51263
4256,Sailors -- Juvenile fiction,51263
5581,Magic -- Juvenile fiction,51263
10699,Deserts -- Juvenile fiction,51263
15819,Storms -- Juvenile fiction,51263
18110,Mermaids -- Juvenile fiction,51263
19597,Good and evil -- Juvenile fiction,51263
25080,"Animals, Mythical -- Juvenile fiction",51263
25086,Scarecrow (Fictitious character from Baum) -- Juvenile fiction,51263
25088,Witches -- Juvenile fiction,51263
2849,Adventure stories,11208
16072,Eulenspiegel (Satire) -- Legends,11208
2849,Adventure stories,11208
16072,Eulenspiegel (Satire) -- Legends,11208
1282,London (England) -- Fiction,18112
2543,Picaresque literature,18112
2849,Adventure stories,18112
3333,Criminals -- Fiction,18112
3534,Prostitutes -- Fiction,18112
4791,Children of prisoners -- Fiction,18112
4792,British -- Virginia -- Fiction,18112
4793,Women -- England -- Fiction,18112
4794,Repentance -- Fiction,18112
4795,Virginia -- Fiction,18112
511,Humorous stories,7193
2536,Bildungsromans,7193
2604,Boys -- Fiction,7193
2614,Male friendship -- Fiction,7193
2849,Adventure stories,7193
3470,Missouri -- Fiction,7193
3967,"Sawyer, Tom (Fictitious character) -- Fiction",7193
5111,Child witnesses -- Fiction,7193
7019,Runaway children -- Fiction,7193
7020,Mississippi River Valley -- Fiction,7193
45,Oz (Imaginary place) -- Juvenile fiction,25581
46,Fantasy literature,25581
2820,Islands -- Juvenile fiction,25581
2966,Friendship -- Juvenile fiction,25581
3960,Adventure and adventurers -- Juvenile fiction,25581
5088,Goats -- Juvenile fiction,25581
5581,Magic -- Juvenile fiction,25581
5784,Escapes -- Juvenile fiction,25581
8446,Slaves -- Juvenile fiction,25581
11050,Kings and rulers -- Juvenile fiction,25581
19597,Good and evil -- Juvenile fiction,25581
25081,"Gale, Dorothy (Fictitious character) -- Juvenile fiction",25581
25089,Wizard of Oz (Fictitious character) -- Juvenile fiction,25581
2849,Adventure stories,794
3558,Brothers and sisters -- Juvenile fiction,794
4133,England -- Juvenile fiction,794
4236,Country life -- Juvenile fiction,794
8425,Children -- Juvenile fiction,794
11057,Families -- Juvenile fiction,794
138,Fantasy fiction,518
2930,Twins -- Juvenile fiction,518
2966,Friendship -- Juvenile fiction,518
3244,Fairies -- Juvenile fiction,518
3728,Dragons -- Juvenile fiction,518
3960,Adventure and adventurers -- Juvenile fiction,518
4212,Princes -- Juvenile fiction,518
11977,Brigands and robbers -- Juvenile fiction,518
14323,Knights and knighthood -- Juvenile fiction,518
19597,Good and evil -- Juvenile fiction,518
25095,Magicians -- Juvenile fiction,518
25098,Boredom -- Juvenile fiction,518
2649,Conspiracies -- Fiction,40945
2849,Adventure stories,40945
3267,British -- Foreign countries -- Fiction,40945
3368,Princesses -- Fiction,40945
4454,"Europe, Eastern -- Fiction",40945
511,Humorous stories,9609
1702,England -- Fiction,9609
2536,Bildungsromans,9609
2540,Young men -- Fiction,9609
2560,Clergy -- Fiction,9609
2614,Male friendship -- Fiction,9609
2849,Adventure stories,9609
2906,Social classes -- Fiction,9609
13696,Household employees -- Fiction,9609
2486,Ship captains -- Fiction,21971
5704,Oceania -- Fiction,21971
5785,"Sea stories, American",21971
11616,"Autobiographical fiction, American",21971
11617,Americans -- Oceania -- Fiction,21971
11618,"Adventure stories, American",21971
45,Oz (Imaginary place) -- Juvenile fiction,961
46,Fantasy literature,961
808,War stories,961
3960,Adventure and adventurers -- Juvenile fiction,961
3961,Voyages and travels -- Juvenile fiction,961
5581,Magic -- Juvenile fiction,961
11064,Courage -- Juvenile fiction,961
19597,Good and evil -- Juvenile fiction,961
25080,"Animals, Mythical -- Juvenile fiction",961
25081,"Gale, Dorothy (Fictitious character) -- Juvenile fiction",961
25088,Witches -- Juvenile fiction,961
25101,Tribes -- Juvenile fiction,961
2246,Coal mines and mining -- Fiction,1355
2696,Scotland -- Fiction,1355
2849,Adventure stories,1355
4891,"Fantasy fiction, French -- Translations into English",1355
8079,"Civilization, Subterranean -- Fiction",1355
16750,Imaginary places,1355
170,Criminal investigation -- Fiction,1183
2563,"Fu Manchu, Doctor (Fictitious character) -- Fiction",1183
2849,Adventure stories,1183
4600,China -- Fiction,1183
7508,Mystery fiction,1183
7859,Secret societies -- Fiction,1183
18287,Poisoning -- Fiction,1183
293,Western stories,22670
2849,Adventure stories,22670
11346,"James, Jesse, 1847-1882 -- Fiction",22670
11347,Inventors -- United States -- Fiction,22670
5439,"Adventure stories, Australian",8730
9821,Country life -- Australia -- Juvenile fiction,8730
9822,Australia -- Social conditions -- Juvenile fiction,8730
2849,Adventure stories,29336
5650,Middle East -- Fiction,29336
18787,German fiction,29336
115,Sea stories,1604
2849,Adventure stories,1604
5704,Oceania -- Fiction,1604
18221,Schooners -- Fiction,1604
2849,Adventure stories,7132
17250,British -- Uruguay -- Fiction,7132
17251,Uruguay -- Fiction,7132
2822,Adventure and adventurers -- Fiction,28093
3546,Burglars -- Fiction,28093
3547,"Lupin, Arsène (Fictitious character) -- Fiction",28093
1008,Animals -- Juvenile fiction,21736
3567,Africa -- Juvenile fiction,21736
3960,Adventure and adventurers -- Juvenile fiction,21736
4254,Natural history -- Juvenile fiction,21736
11733,Big game hunting -- Juvenile fiction,21736
11734,Gorilla -- Juvenile fiction,21736
36,Science fiction,14287
2849,Adventure stories,14287
5831,Castaways -- Fiction,14287
11837,Islands of the Pacific -- Fiction,14287
36,Science fiction,1368
2849,Adventure stories,1368
1529,Polynesia -- Description and travel -- Fiction,13720
2849,Adventure stories,13720
36,Science fiction,19086
130,Africa -- Fiction,19086
2849,Adventure stories,19086
3304,Balloons -- Fiction,19086
5232,Voyages and travels -- Fiction,19086
808,War stories,18883
2487,Love stories,18883
2614,Male friendship -- Fiction,18883
2687,Soldiers -- Fiction,18883
2849,Adventure stories,18883
9398,Cowardice -- Fiction,18883
12963,British -- Sudan -- Fiction,18883
12964,Sudan -- Fiction,18883
808,War stories,21242
1008,Animals -- Juvenile fiction,21242
1414,Conduct of life -- Juvenile fiction,21242
2966,Friendship -- Juvenile fiction,21242
3960,Adventure and adventurers -- Juvenile fiction,21242
3961,Voyages and travels -- Juvenile fiction,21242
4255,Rescues -- Juvenile fiction,21242
8366,Soldiers -- Juvenile fiction,21242
11858,Prisoners -- Juvenile fiction,21242
11977,Brigands and robbers -- Juvenile fiction,21242
11978,Burma -- Juvenile fiction,21242
11979,"Anglo-Burmese War, 1st, 1824-1826 -- Juvenile fiction",21242
767,"War stories, English",11247
5421,"Napoleonic Wars, 1800-1815 -- Fiction",11247
6944,"Adventure stories, English",11247
7447,"France -- History, Military -- 19th century -- Fiction",11247
511,Humorous stories,7106
2536,Bildungsromans,7106
2604,Boys -- Fiction,7106
2614,Male friendship -- Fiction,7106
2849,Adventure stories,7106
3470,Missouri -- Fiction,7106
5311,Race relations -- Fiction,7106
7019,Runaway children -- Fiction,7106
7021,"Finn, Huckleberry (Fictitious character) -- Fiction",7106
7022,Fugitive slaves -- Fiction,7106
7023,Mississippi River -- Fiction,7106
204,Indians of North America -- Fiction,10736
1375,"Short stories, American",10736
2849,Adventure stories,10736
2849,Adventure stories,13183
2930,Twins -- Juvenile fiction,13183
3961,Voyages and travels -- Juvenile fiction,13183
11050,Kings and rulers -- Juvenile fiction,13183
12252,Youth and death -- Juvenile fiction,13183
14319,Chivalry -- Juvenile fiction,13183
14323,Knights and knighthood -- Juvenile fiction,13183
15263,"Edward, Prince of Wales, 1330-1376 -- Juvenile fiction",13183
15264,Plague -- Juvenile fiction,13183
24536,Parody,58201
32919,"Carroll, Lewis, 1832-1898. Alice's adventures in Wonderland -- Parodies, imitations, etc.",58201
32920,Alice (Fictitious character from Carroll) -- Fiction,58201
32921,Great Britain -- Politics and government -- Humor,58201
1278,City and town life -- Fiction,12986
2849,Adventure stories,12986
9229,Staffordshire (England) -- Fiction,12986
476,Voyages around the world,39341
1438,Arctic regions,39341
4252,Adventure and adventurers,39341
7082,Ocean,39341
3960,Adventure and adventurers -- Juvenile fiction,34592
4709,Mystery and detective stories,34592
20568,"Parker, Penny (Fictitious character) -- Juvenile fiction",34592
20569,Women detectives -- Juvenile fiction,34592
20570,Women in journalism -- Juvenile fiction,34592
20571,Gangsters -- Juvenile fiction,34592
295,"Fantasy fiction, English",6073
4674,"Short stories, English",6073
6944,"Adventure stories, English",6073
642,"World War, 1914-1918 -- Fiction",28440
2487,Love stories,28440
2849,Adventure stories,28440
3239,Spy stories,28440
3181,Gold mines and mining -- Fiction,2377
3280,Klondike River Valley (Yukon) -- Fiction,2377
